time,pwm,distance,angle,control,velocity,target
1703003569776105263,660000,0.45725929737091064,573811,660000.0,0.0,True
1703003569872338392,660000,0.4571775197982788,577574,660000.0,0.0,True
1703003569981930429,660000,0.45465877652168274,576091,660000.0,0.0,True
1703003570080874633,660000,0.455582857131958,573865,660000.0,0.0,True
1703003570177674948,660000,0.4547732472419739,577629,660000.0,0.0,True
1703003570269133855,715000,0.4554847180843353,573901,715000.0,0.0,True
1703003570389023225,660000,0.45469966530799866,570173,660000.0,0.0,True
1703003570477654540,660000,0.45549291372299194,573935,660000.0,0.0,True
1703003570574131559,715000,0.45383280515670776,573952,715000.0,0.0,True
1703003570688044985,715000,0.4546096920967102,576214,715000.0,0.0,True
1703003570773452614,660000,0.4546833038330078,570241,660000.0,0.0,True
1703003570882490947,585000,0.45566463470458984,574002,585000.0,0.0,True
1703003570976068577,660000,0.4539881944656372,576265,660000.0,0.0,True
1703003571073586373,660000,0.4547896087169647,570288,660000.0,0.0,True
1703003571174508781,660000,0.4556728005409241,576301,660000.0,0.0,True
1703003571280865336,660000,0.4562779664993286,574071,660000.0,0.0,True
1703003571392012188,660000,0.4562370777130127,576339,660000.0,0.0,True
1703003571479117373,660000,0.4562779664993286,576351,660000.0,0.0,True
1703003571576829151,660000,0.4567604660987854,570376,660000.0,0.0,True
1703003571682296614,660000,0.4572511315345764,576380,660000.0,0.0,True
1703003571772589132,660000,0.45632702112197876,574150,660000.0,0.0,True
1703003571873862428,660000,0.45729202032089233,570421,660000.0,0.0,True
1703003571972187762,660000,0.45718568563461304,571940,660000.0,0.0,True
1703003572077690299,585000,0.4589766263961792,576450,585000.0,0.0,True
1703003572175916873,660000,0.45813432335853577,574221,660000.0,0.0,True
1703003572272904984,660000,0.45643335580825806,576483,660000.0,0.0,True
1703003572376950502,660000,0.45645788311958313,570498,660000.0,0.0,True
1703003572473921465,660000,0.4564087986946106,574273,660000.0,0.0,True
1703003572575606465,660000,0.45646604895591736,574291,660000.0,0.0,True
1703003572672995057,715000,0.46280381083488464,554084,715000.0,0.0,True
1703003572786472835,715000,0.45792168378829956,574314,715000.0,0.0,True
1703003572873449002,660000,0.4562452435493469,578071,660000.0,0.0,True
1703003572978194094,585000,0.46800488233566284,568360,585000.0,0.0,True
1703003573070421705,660000,0.4563024938106537,576605,660000.0,0.0,True
1703003573178319631,660000,0.4509705901145935,574385,660000.0,0.0,True
1703003573276234205,660000,0.45730018615722656,570666,660000.0,0.0,True
1703003573377583131,660000,0.45628613233566284,574418,660000.0,0.0,True
1703003573480389094,660000,0.45629432797431946,574436,660000.0,0.0,True
1703003573573644557,660000,0.4513549506664276,572946,660000.0,0.0,True
1703003573674831742,660000,0.45632702112197876,574470,660000.0,0.0,True
1703003573776693501,660000,0.45631885528564453,574488,660000.0,0.0,True
1703003573882019057,660000,0.4563433825969696,574506,660000.0,0.0,True
1703003573979648908,660000,0.4562779664993286,574524,660000.0,0.0,True
1703003574074598594,660000,0.4537837505340576,573034,660000.0,0.0,True
1703003574181577779,660000,0.4563352167606354,576802,660000.0,0.0,True
1703003574275905316,660000,0.45642516016960144,574575,660000.0,0.0,True
1703003574389866408,660000,0.4563024938106537,570850,660000.0,0.0,True
1703003574476449945,660000,0.45403724908828735,574604,660000.0,0.0,True
1703003574575755390,660000,0.46006426215171814,574622,660000.0,0.0,True
1703003574679836075,660000,0.45722657442092896,580599,660000.0,0.0,True
1703003574783214519,660000,0.45649057626724243,574662,660000.0,0.0,True
1703003574882568908,660000,0.45729202032089233,574680,660000.0,0.0,True
1703003575003129426,660000,0.45729202032089233,576945,660000.0,0.0,True
1703003575077365704,660000,0.4579625725746155,573214,660000.0,0.0,True
1703003575176903111,660000,0.4572020471096039,576970,660000.0,0.0,True
1703003575278246408,660000,0.4563842713832855,568748,660000.0,0.0,True
