time,pwm,distance,angle,control,velocity,target
1703003562159701693,0,0.16417665779590607,619866,0,0.0,True
1703003562260282304,0,0.16260652244091034,624424,0,0.0,True
1703003562357652397,0,0.16090555489063263,620799,0,0.2784023880958557,True
1703003562456007286,0,0.1637023389339447,620892,0,1.761191964149475,True
1703003562559929156,0,0.17013005912303925,628494,0,0.0,True
1703003562654504212,0,0.16445469856262207,624857,0,0.0,True
1703003562762175786,0,0.16448740661144257,623462,0,0.0,True
1703003562859826230,0,0.16374322772026062,626571,0,0.0,True
1703003562961299082,0,0.16479817032814026,631173,0,0.0,True
1703003563058213045,0,0.16497807204723358,621538,0,0.0,True
1703003563156608267,0,0.16302359104156494,629145,0,0.0,True
1703003563263880878,0,0.16494536399841309,629247,0,0.0,True
1703003563356756711,0,0.16487176716327667,621866,0,0.0,True
1703003563457389322,0,0.1649535447359085,615992,0,0.0,True
1703003563559228785,0,0.16492900252342224,624321,0,0.0,True
1703003563656489989,0,0.17670497298240662,623689,0,0.10614586621522903,True
1703003563759431859,0,0.1641848385334015,623796,0,0.0,True
1703003563857404100,0,0.16580402851104736,616415,0,0.0,True
1703003563959674155,0,0.17030997574329376,628492,0,0.0,True
1703003564054115877,0,0.16420118510723114,628597,0,0.0,True
1703003564154057266,0,0.16163337230682373,620477,0,0.2392169088125229,True
1703003564258047896,0,0.1616906225681305,622827,0,0.0,True
1703003564356840599,0,0.16333433985710144,626675,0,0.0,True
1703003564466290081,0,0.16375140845775604,626784,0,0.31885576248168945,True
1703003564556896803,0,0.16487176716327667,627635,0,0.0,True
1703003564661506358,660000,0.1635633260011673,623247,660000.0,0.0,True
1703003564756483470,660000,0.16406217217445374,625599,660000.0,0.0,True
1703003564855925229,660000,0.16327710449695587,627207,660000.0,0.3518921136856079,True
1703003564956169599,660000,0.16171514987945557,625813,660000.0,0.0,True
1703003565058038692,660000,0.1608646661043167,619933,660000.0,0.0,True
1703003565162154673,660000,0.1608973741531372,620030,660000.0,0.0,True
1703003565259397636,660000,0.16083195805549622,628371,660000.0,0.0,True
1703003565362524728,660000,0.16081559658050537,621752,660000.0,0.0,True
1703003565464455525,660000,0.14982469379901886,621835,660000.0,0.0,True
1703003565558768802,715000,0.1638740748167038,630194,715000.0,0.0,True
1703003565658907265,660000,0.16353878378868103,622806,660000.0,0.0,True
1703003565755643469,585000,0.1637759506702423,630405,585000.0,0.1424599140882492,True
1703003565861583821,660000,0.1608237773180008,630521,660000.0,0.0,True
1703003565957650358,660000,0.15895923972129822,626876,660000.0,0.0,True
1703003566060383061,660000,0.1633261740207672,634462,660000.0,0.0,True
1703003566157984876,715000,0.16337522864341736,630838,715000.0,0.0,True
1703003566255368802,660000,0.16258199512958527,633188,660000.0,0.0,True
1703003566356584709,660000,0.16417665779590607,633294,660000.0,0.0,True
1703003566458105802,660000,0.1641848385334015,628912,660000.0,0.0,True
1703003566564501820,715000,0.16407033801078796,625268,715000.0,0.0,True
1703003566656176505,660000,0.16160884499549866,629125,660000.0,0.0,True
1703003566767526413,660000,0.16083195805549622,631481,660000.0,0.0,True
1703003566861134061,660000,0.16080741584300995,633089,660000.0,0.0,True
1703003566962395894,660000,0.16075018048286438,625704,660000.0,0.0,True
1703003567056906413,660000,0.16343247890472412,635565,660000.0,0.0,True
1703003567156591338,660000,0.16078288853168488,629662,660000.0,0.0,True
1703003567258468190,660000,0.1608973741531372,632013,660000.0,0.0,True
1703003567357318098,660000,0.16098733246326447,633626,660000.0,0.0,True
1703003567461836209,660000,0.16174785792827606,633729,660000.0,0.0,True
1703003567557556968,660000,0.16080741584300995,626347,660000.0,0.0,True
1703003567659118523,660000,0.16107729077339172,631703,660000.0,0.0,True
1703003567757815060,660000,0.16039852797985077,626562,660000.0,0.10042711347341537,True
1703003567856763486,660000,0.16074199974536896,626682,660000.0,0.0,True
1703003567961985634,660000,0.16090555489063263,632767,660000.0,0.0,True
1703003568055953153,660000,0.16079923510551453,628370,660000.0,0.4377647340297699,True
1703003568163240005,660000,0.16178874671459198,630740,660000.0,1.8022193908691406,True
1703003568258199727,660000,0.1612081229686737,627101,585000.0,0.0,True
1703003568361492282,660000,0.16157612204551697,636937,660000.0,0.6249707937240601,True
1703003568456993578,660000,0.16081559658050537,631063,660000.0,1.3601645231246948,True
1703003568563102301,660000,0.16083195805549622,633404,660000.0,2.1081290245056152,True
1703003568659003171,660000,0.1632852852344513,635780,660000.0,0.0,True
1703003568779824115,660000,0.16244296729564667,633647,660000.0,0.0,True
1703003568861710800,660000,0.1633915901184082,635241,660000.0,0.0,True
1703003568959333319,660000,0.16257381439208984,630096,660000.0,0.0,True
1703003569058778245,660000,0.16166608035564423,630201,660000.0,0.0,True
1703003569157528763,660000,0.16098733246326447,630307,660000.0,0.0,True
1703003569255705930,660000,0.1607910692691803,635630,660000.0,0.0,True
1703003569363661819,660000,0.1611345261335373,638021,660000.0,0.0,True
1703003569459718967,660000,0.1607174575328827,632130,660000.0,0.0,True
1703003569567934985,660000,0.1600959599018097,628488,660000.0,0.0,True
1703003569659442374,660000,0.16079923510551453,626344,660000.0,0.4104855954647064,True
1703003569759733096,660000,0.16070929169654846,634693,660000.0,0.0,True
1703003569861811392,660000,0.16057026386260986,631058,660000.0,0.0,True
1703003569960482800,660000,0.16261470317840576,636412,660000.0,0.0,True
1703003570062121263,660000,0.1608973741531372,632773,660000.0,0.0,True
1703003570157944189,660000,0.16440562903881073,636591,660000.0,0.0,True
1703003570269026114,660000,0.1607910692691803,635233,660000.0,0.0,True
1703003570359608133,660000,0.16166608035564423,629355,660000.0,0.33746200799942017,True
1703003570462203244,660000,0.1759362667798996,629481,660000.0,1.248329997062683,True
1703003570559199744,585000,0.16160884499549866,629566,585000.0,0.0,True
1703003570653347003,660000,0.16253292560577393,637130,660000.0,0.0,True
1703003570764339262,660000,0.1632852852344513,641759,660000.0,0.0,True
1703003570859685299,660000,0.16423389315605164,633598,660000.0,0.0,True
1703003570956815040,660000,0.1642584353685379,628429,660000.0,0.0,True
1703003571056089429,660000,0.162557452917099,636055,660000.0,0.0,True
1703003571155872077,660000,0.1615188866853714,630170,660000.0,0.0,True
1703003571257194725,660000,0.18545517325401306,636275,715000.0,0.0,True
1703003571357128188,660000,0.22578787803649902,634877,660000.0,0.0,True
1703003571465218484,660000,0.29924866557121277,628264,660000.0,0.0,True
1703003571556411003,660000,0.3845263123512268,620827,660000.0,0.24215812981128693,True
1703003571658969447,660000,0.44620296359062195,624675,660000.0,0.0,True
1703003571761320188,660000,0.5695644617080688,623302,660000.0,0.0,True
