time,pwm,distance,angle,control,velocity,target,target_center_offset
1704375641286754720,660000,0,560000,0,0.0,False,0
1704375641386307175,660000,0,560000,0,0.0,False,0
1704375641486414311,660000,0,560000,0,0.0,False,0
1704375641585950802,660000,0,560000,0,0.0,False,0
1704375641685855865,660000,0,560000,0,0.0,False,0
1704375641787276714,660000,0,560000,0,0.0,False,0
1704375641886509745,660000,0,560000,0,0.0,False,0
1704375641986317549,660000,0,560000,0,0.0,False,0
1704375642086290667,660000,0,560000,0,0.0,False,0
1704375642186415061,660000,0,560000,0,0.0,False,0
1704375642286235124,660000,0,560000,0,0.0,False,0
1704375642386197779,660000,0,560000,0,0.0,False,0
1704375642486725244,660000,0,560000,0,0.0,False,0
1704375642586451512,660000,0,560000,0,0.0,False,0
1704375642686157502,660000,0,560000,0,0.0,False,0
1704375642786421469,660000,0,560000,0,0.0,False,0
1704375642886324642,660000,0,560000,0,0.0,False,0
1704375642986430981,660000,0,560000,0,0.0,False,0
1704375643086229970,660000,0,560000,0,0.0,False,0
1704375643186749435,660000,0,560000,0,0.0,False,0
1704375643286218185,660000,0,560000,0,0.0,False,0
1704375643386432596,660000,0,560000,0,0.0,False,0
1704375643486448102,660000,0,560000,0,0.0,False,0
1704375643586362441,660000,0,560000,0,0.0,False,0
1704375643686222096,660000,0,560000,0,0.0,False,0
1704375643786445933,660000,0,560000,0,0.0,False,0
1704375643886482902,660000,0,560000,0,0.0,False,0
1704375643986479870,660000,0,560000,0,0.0,False,0
1704375644086407968,660000,0,560000,0,0.0,False,0
1704375644186378955,660000,0,560000,0,0.0,False,0
1704375644286421163,660000,0,560000,0,0.0,False,0
1704375644386155244,660000,0,560000,0,0.0,False,0
1704375644486535506,660000,0,560000,0,0.0,False,0
1704375644586767287,660000,0,560000,0,0.0,False,0
1704375644686292703,660000,0,560000,0,0.0,False,0
1704375644786432410,660000,0,560000,0,0.0,False,0
1704375644886384749,660000,0,560000,0,0.0,False,0
1704375644986379458,660000,0,560000,0,0.0,False,0
1704375645086168130,660000,0,560000,0,0.0,False,0
1704375645186218968,660000,0,560000,0,0.0,False,0
1704375645287041021,660000,0,560000,0,0.0,False,0
1704375645386499233,660000,0,560000,0,0.0,False,0
1704375645486409905,660000,0,560000,0,0.0,False,0
1704375645586558501,660000,0,560000,0,0.0,False,0
1704375645686464858,660000,0,560000,0,0.0,False,0
1704375645786152179,660000,0,560000,0,0.0,False,0
1704375645886392145,660000,0,560000,0,0.0,False,0
1704375645986650221,660000,0,560000,0,0.0,False,0
1704375646086482578,660000,0,560000,0,0.0,False,0
1704375646186310287,660000,0,560000,0,0.0,False,0
1704375646286456771,660000,0,560000,0,0.0,False,0
1704375646386391331,660000,0,560000,0,0.0,False,0
1704375646486152429,660000,0,560000,0,0.0,False,0
