%time,field.data
1702389802211578369,8.58332633972168
1702389802260529994,9.336036682128906
1702389802312143087,9.217499732971191
1702389802362884044,9.348332405090332
1702389802412658691,8.633870124816895
1702389802462773084,9.849922180175781
1702389802513455867,9.264437675476074
1702389802563868761,9.240114212036133
1702389802611627578,8.782835006713867
1702389802665168046,9.196627616882324
1702389802710896730,9.179156303405762
1702389802763538599,9.233141899108887
1702389802811774730,9.630809783935547
1702389802863175392,9.443474769592285
1702389802912251710,7.021487236022949
1702389802962297916,9.534684181213379
1702389803011410713,7.0735650062561035
1702389803062534570,10.220755577087402
1702389803112112522,9.290090560913086
1702389803162231922,9.121736526489258
1702389803211779356,9.224493980407715
1702389803262182950,9.906984329223633
1702389803314004421,9.230350494384766
1702389803362618684,9.197615623474121
1702389803415651321,9.945791244506836
1702389803462153673,9.285842895507812
1702389803514273643,9.213863372802734
1702389803561956644,8.978772163391113
1702389803613502502,8.914557456970215
1702389803663316249,9.683639526367188
1702389803712900161,9.239437103271484
1702389803763616800,8.577160835266113
1702389803812815189,9.233991622924805
1702389803862468957,9.749839782714844
1702389803911594390,9.269549369812012
1702389803963052511,8.128719329833984
1702389804012328147,9.15308666229248
1702389804063380718,8.545849800109863
1702389804112846612,9.233077049255371
1702389804163653850,9.791003227233887
1702389804211349964,8.689620971679688
1702389804262596845,8.762744903564453
1702389804312093973,9.01268196105957
1702389804363343715,8.812664031982422
1702389804413922786,7.644859790802002
1702389804461741685,9.25993824005127
1702389804512934207,8.285775184631348
1702389804561911344,9.260064125061035
1702389804612537384,9.237899780273438
1702389804662277460,9.161587715148926
1702389804712998390,8.643470764160156
1702389804762474060,8.622103691101074
1702389804812834739,9.805312156677246
1702389804863152265,9.153801918029785
1702389804913233041,9.371030807495117
1702389804960920095,8.383820533752441
1702389805014090299,9.02518367767334
1702389805062731504,8.207493782043457
1702389805114327669,8.718039512634277
1702389805161417961,8.64937686920166
1702389805213447332,9.48015308380127
1702389805262935638,9.128016471862793
1702389805310737609,8.716597557067871
1702389805362238645,8.7252836227417
1702389805412433385,8.700387954711914
1702389805463499307,8.135716438293457
1702389805512838363,9.28692626953125
1702389805561145544,9.291197776794434
1702389805611846685,9.310566902160645
1702389805665496587,9.713114738464355
1702389805713075399,9.528464317321777
1702389805763456821,9.118170738220215
1702389805812705039,10.129145622253418
1702389805863699913,9.242873191833496
1702389805912584304,8.409390449523926
1702389805962622404,8.732123374938965
1702389806013393402,8.76171875
1702389806063100337,9.225271224975586
1702389806112526655,8.23644733428955
1702389806161839246,8.654304504394531
1702389806211715221,9.85400390625
1702389806262819290,9.233536720275879
1702389806312561988,9.162750244140625
1702389806362354755,9.176054954528809
1702389806413565635,9.447754859924316
1702389806462796449,9.18598461151123
1702389806513654470,9.749283790588379
1702389806561497926,9.278579711914062
1702389806611672639,9.36414909362793
1702389806661711454,9.725136756896973
1702389806713570594,9.85141658782959
1702389806760659217,8.283197402954102
1702389806812791824,9.520197868347168
1702389806862478256,9.235458374023438
1702389806910577058,9.9578857421875
1702389806963260173,9.19549560546875
1702389807011957168,9.867391586303711
1702389807063886642,10.0261869430542
1702389807112264394,9.032115936279297
1702389807167438268,8.839864730834961
1702389807212449073,9.172222137451172
1702389807263262510,9.21664810180664
1702389807313654422,9.222681999206543
1702389807363555908,9.671486854553223
1702389807411936759,9.291912078857422
1702389807460636615,9.314021110534668
1702389807513347625,9.206871032714844
1702389807562475204,9.194320678710938
1702389807613912343,10.20148754119873
1702389807662885427,9.083037376403809
1702389807712801218,9.156222343444824
1702389807762349128,8.63883113861084
1702389807813331604,8.916128158569336
1702389807861505031,8.33029556274414
1702389807913078069,9.274226188659668
1702389807962448596,9.19958209991455
1702389808012502670,9.49632453918457
1702389808061577796,9.18765926361084
1702389808112865447,9.588020324707031
1702389808163434743,8.573648452758789
1702389808212780237,9.204730987548828
1702389808262988805,10.002669334411621
1702389808313170194,9.28925609588623
1702389808362690210,8.621415138244629
1702389808411517858,9.361923217773438
1702389808465241193,8.572630882263184
1702389808512906312,9.226574897766113
1702389808564345121,9.287004470825195
1702389808611193895,8.638151168823242
1702389808662479400,10.702079772949219
1702389808713089466,9.257184028625488
1702389808761956214,9.270297050476074
1702389808812806129,7.08644437789917
1702389808860775947,10.016715049743652
1702389808912468433,8.09224796295166
1702389808962909698,9.657491683959961
1702389809013667106,9.144059181213379
1702389809062115669,9.273256301879883
